strike,maturity,vol,type,in_the_money,price,vega,status,implied_vol,rel_vol_error,noise_bound
50,5,0.5,call,1,61.299658802919325,37.958522054907782,ok,0.5,0,3.5636459831106791e-15
50,5,0.5,put,0,9.2121151741008092,37.958522054907782,ok,0.5,0,1.0973855139843817e-15
50,5,1,call,1,78.844141944760764,28.687709014923392,ok,0.99999999999999978,2.2204460492503131e-16,2.6259433285092904e-15
50,5,1,put,0,26.756598315942259,28.687709014923392,ok,1.0000000000000004,4.4408920985006262e-16,1.206889628411045e-15
60,0.0027397260273972603,0.050000000000000003,call,1,40.002191615692965,0,zero_time_value,0,1,inf
60,0.0027397260273972603,0.050000000000000003,put,0,0,0,zero_time_value,0,1,-nan
60,0.0027397260273972603,0.10000000000000001,call,1,40.002191615692965,0,zero_time_value,0,1,inf
60,0.0027397260273972603,0.10000000000000001,put,0,0,0,zero_time_value,0,1,-nan
60,0.0027397260273972603,0.20000000000000001,call,1,40.002191615692965,0,zero_time_value,0,1,inf
60,0.0027397260273972603,0.20000000000000001,put,0,0,0,zero_time_value,0,1,-nan
60,0.0027397260273972603,0.5,call,1,40.002191615692965,2.9042267212101125e-83,zero_time_value,0,1,9.3594210134160193e+71
60,0.0027397260273972603,0.5,put,0,3.7811255689526216e-86,2.9042267212101125e-83,ok,0.49999999999996392,7.2164496600635175e-14,3.3190942762809777e-13
60,0.0027397260273972603,1,call,1,40.002191615692965,3.3283561394368981e-21,zero_time_value,0,1,1032946522.0390526
60,0.0027397260273972603,1,put,0,3.3891878669499228e-23,3.3283561394368981e-21,ok,0.99999999999999145,8.5487172896137054e-15,8.3489868849244324e-14
60,0.019178082191780823,0.050000000000000003,call,1,40.015334375965679,0,zero_time_value,0,1,inf
60,0.019178082191780823,0.050000000000000003,put,0,0,0,zero_time_value,0,1,-nan
60,0.019178082191780823,0.10000000000000001,call,1,40.015334375965679,5.3728936674762632e-296,zero_time_value,0,1,9.0173664127710678e+285
60,0.019178082191780823,0.10000000000000001,put,0,3.9342545967890824e-300,5.3728936674762632e-296,ok,0.10000000000000001,0,1.1844272522412461e-12
60,0.019178082191780823,0.20000000000000001,call,1,40.015334375965679,4.528238518372031e-74,zero_time_value,0,1,1.3418680631151359e+63
60,0.019178082191780823,0.20000000000000001,put,0,2.6353691916813283e-77,4.528238518372031e-74,ok,0.20000000000000001,0,2.9661020697760638e-13
60,0.019178082191780823,0.5,call,1,40.015334375965743,6.236218153364207e-12,ok,0.5014280180588877,0.0028560361177754068,0.63805998190344582
60,0.019178082191780823,0.5,put,0,5.4315064192884185e-14,6.236218153364207e-12,ok,0.49999999999999495,1.0103029524088925e-14,4.8039571452677693e-14
60,0.019178082191780823,1,call,1,40.015621767587561,0.0046899752704015812,ok,1.0000000000006004,6.0040861171728466e-13,1.146575539771308e-10
60,0.019178082191780823,1,put,0,0.00028739162187892305,0.0046899752704015812,ok,0.99999999999999889,1.1102230246251565e-15,1.2573993617193836e-14
60,0.082191780821917804,0.050000000000000003,call,1,40.065604944474934,2.5646778625670657e-277,zero_time_value,0,1,3.5400880934513621e+267
60,0.082191780821917804,0.050000000000000003,put,0,1.0009644628366981e-281,2.5646778625670657e-277,ok,0.050000000000000003,0,1.108233724505225e-12
60,0.082191780821917804,0.10000000000000001,call,1,40.065604944474934,3.6494789100201572e-69,zero_time_value,0,1,3.1207828408129648e+58
60,0.082191780821917804,0.10000000000000001,put,0,1.1315917635767994e-72,3.6494789100201572e-69,ok,0.10000000000000001,0,2.7756205919810877e-13
60,0.082191780821917804,0.20000000000000001,call,1,40.065604944474934,3.9847848289028343e-17,zero_time_value,0,1,362325.39777718944
60,0.082191780821917804,0.20000000000000001,put,0,9.6237203469904086e-20,3.9847848289028343e-17,ok,0.20000000000000001,0,6.9905260792965402e-14
60,0.082191780821917804,0.5,call,1,40.066083554798219,0.014797695112923911,ok,0.49999999999981626,3.6748382115092681e-13,6.8548148022041354e-11
60,0.082191780821917804,0.5,put,0,0.00047861032328726585,0.014797695112923911,ok,0.49999999999999928,1.4432899320127035e-15,1.1814974887359417e-14
60,0.082191780821917804,1,call,1,40.389625206154875,1.7716582168354191,ok,0.99999999999999545,4.5519144009631418e-15,9.1542609317467502e-14
60,0.082191780821917804,1,put,0,0.32402026167994924,1.7716582168354191,ok,1.0000000000000004,4.4408920985006262e-16,3.5817779954497469e-15
60,0.25,0.050000000000000003,call,1,40.198628950597701,5.526544655213066e-92,zero_time_value,0,1,5.4689924348894711e+81
60,0.25,0.050000000000000003,put,0,6.4455860005071824e-96,5.526544655213066e-92,ok,0.050000000000000003,0,3.6718550369984105e-13
60,0.25,0.10000000000000001,call,1,40.198628950597701,1.190075058488968e-22,zero_time_value,0,1,320846409595.5694
60,0.25,0.10000000000000001,put,0,1.088050216942193e-25,1.190075058488968e-22,ok,0.10000000000000001,0,9.2307486640831622e-14
60,0.25,0.20000000000000001,call,1,40.198629124699252,2.5613729379842765e-05,ok,0.2000000002583926,1.2919629255314646e-09,1.9420728453152846e-07
60,0.25,0.20000000000000001,put,0,1.7410154433535924e-07,2.5613729379842765e-05,ok,0.20000000000000001,0,2.3615456204294312e-14
60,0.25,0.5,call,1,40.335628841875554,1.8152996804303361,ok,0.50000000000000366,7.3274719625260332e-15,2.2157230232751724e-13
60,0.25,0.5,put,0,0.13699989127784695,1.8152996804303361,ok,0.50000000000000033,6.6613381477509392e-16,4.4627683916761867e-15
60,0.25,1,call,1,43.160550685740347,8.7518885561872555,ok,1.0000000000000004,4.4408920985006262e-16,9.3667237505175655e-15
