payoff,replication,estimate,std_error,z_score,covered_95
atm_call,62,10.275680995359137,0.14469881448290461,-1.2087353821898619,1
otm_digital_k130,62,0.11956953865973971,0.0031535873855851153,0.91876970134725056,1
atm_call,63,10.434495154333311,0.14511474975174549,-0.11086686832153865,1
otm_digital_k130,63,0.11918904688993942,0.0031492859124431982,0.79920618216387485,1
atm_call,64,10.409470867976179,0.14581130466342704,-0.28195827685837715,1
otm_digital_k130,64,0.11918904688993943,0.0031492859124431982,0.79920618216387918,1
atm_call,65,10.320643251073403,0.14491409539915348,-0.89667137454254142,1
otm_digital_k130,65,0.11519388330703642,0.003103478889150287,-0.47631540766869135,1
atm_call,66,10.660155368135875,0.1488273521556053,1.4081537628325775,1
otm_digital_k130,66,0.11880855512013917,0.0031449739522628264,0.67931786820961648,1
atm_call,67,10.600873096564593,0.15039232992084758,0.99931641765335122,1
otm_digital_k130,67,0.11757195686828821,0.0031308871311759895,0.28740695888229151,1
atm_call,68,10.423914013338418,0.14612618046147763,-0.18251047665043785,1
otm_digital_k130,68,0.11823781746543872,0.0031384862542131234,0.49887086299125971,1
atm_call,69,10.359704265762383,0.14610129788390389,-0.62202942574392595,1
otm_digital_k130,69,0.11785732569563843,0.003134147886707061,0.37815942934667107,1
atm_call,70,10.693639425472437,0.14933390382713346,1.6275999425304255,1
otm_digital_k130,70,0.11852318629278895,0.0031417330740372241,0.58918696460009934,1
atm_call,71,10.546970460008144,0.14729588069799132,0.65437599046113382,1
otm_digital_k130,71,0.11690609627113774,0.0031232553218568039,0.07491483331097594,1
atm_call,72,10.515771754842161,0.14603099748800527,0.44639962595588784,1
otm_digital_k130,72,0.11148408855148366,0.0030598628425842038,-1.6955104966234413,1
atm_call,73,10.419408988460598,0.14663527928391004,-0.21259947726899833,1
otm_digital_k130,73,0.11728658804093797,0.0031276203720838783,0.19646563473921377,1
atm_call,74,10.421142141780779,0.14684547219774996,-0.20049259922106585,1
otm_digital_k130,74,0.11804757158053859,0.0031363183976645575,0.43855670465396629,1
atm_call,75,10.495277622084815,0.14854632808942173,0.3008761675506384,1
otm_digital_k130,75,0.11861830923523903,0.003142814026048307,0.61925112329121834,1
atm_call,76,10.618971783276715,0.14742651057150644,1.1421840647139974,1
otm_digital_k130,76,0.11719146509848795,0.0031265301150102511,0.16610969991345453,1
atm_call,77,10.345001541979798,0.14683384326171767,-0.71905786745336686,1
otm_digital_k130,77,0.11652560450133741,0.0031188795201877286,-0.046976363475236614,1
atm_call,78,10.546817957560904,0.15006977745512959,0.64126426391301583,1
otm_digital_k130,78,0.11985490748708995,0.0031568066341148802,1.0082307016784182,1
atm_call,79,10.471763808104827,0.14768044692337975,0.14341936499058092,1
otm_digital_k130,79,0.11224507209108424,0.0030688968253630689,-1.4425529042362748,1
atm_call,80,10.667438510366502,0.14778330936187262,1.4673845044973581,1
otm_digital_k130,80,0.11547925213438667,0.0031067902571906983,-0.38395446302357994,1
atm_call,81,10.514680909538972,0.14681757669870049,0.43657809095271133,1
otm_digital_k130,81,0.11871343217768909,0.0031438943185636385,0.64929474452197811,1
atm_call,82,10.497282802190046,0.1487946586002995,0.31385017744448601,1
otm_digital_k130,82,0.11585974390418695,0.0031111958600981066,-0.26111317051593519,1
atm_call,83,10.638806776320441,0.14813999426527596,1.2705765588044886,1
otm_digital_k130,83,0.11728658804093801,0.0031276203720838783,0.1964656347392271,1
atm_call,84,10.212676641784839,0.14452610894486567,-1.646117314979187,1
otm_digital_k130,84,0.12033052219934029,0.0031621590418350063,1.1569323464211636,1
atm_call,85,10.637264239043017,0.14714727289557156,1.2686654885541158,1
otm_digital_k130,85,0.11861830923523903,0.003142814026048307,0.61925112329121834,1
atm_call,86,10.462355378350289,0.14734234543341485,0.07989424988526346,1
otm_digital_k130,86,0.11414753094008569,0.0030912843185856537,-0.81667906250130928,1
atm_call,87,10.640805815571651,0.14779206051616123,1.2870937905713813,1
