payoff,greek,method,h,mean,sd,bias,rmse,exact
digital,gamma,fd_crn,0.0005623413251903491,0.0010040455299166549,0.064435651241694036,0.0013323808334689755,0.064449425052723483,-0.00032833530355232067
digital,gamma,fd_independent,0.001,-0.085091896074463894,0.41104844518364947,-0.084763560770911572,0.41969713547087706,-0.00032833530355232067
digital,gamma,fd_crn,0.001,0.0030843544419315279,0.026117841231718498,0.0034126897454838487,0.026339857287088431,-0.00032833530355232067
digital,gamma,fd_independent,0.0017782794100389228,-0.029633686640104531,0.13001693427200453,-0.02930535133655221,0.13327868102006979,-0.00032833530355232067
digital,gamma,fd_crn,0.0017782794100389228,-0.0016208163554365048,0.010040450011233737,-0.0012924810518841843,0.010123297076425408,-0.00032833530355232067
digital,gamma,fd_independent,0.0031622776601683794,-0.0094072810478905648,0.04057010086692199,-0.0090789457443382435,0.041573553374481501,-0.00032833530355232067
digital,gamma,fd_crn,0.0031622776601683794,-0.0015376414056098868,0.0041033411878796371,-0.0012093061020575662,0.0042778300752394473,-0.00032833530355232067
digital,gamma,fd_independent,0.005623413251903491,-0.0031598747177228959,0.013181765311805187,-0.0028315394141705751,0.013482453492948231,-0.00032833530355232067
digital,gamma,fd_crn,0.005623413251903491,-0.00082905473755961611,0.0016577485667032138,-0.00050071943400729544,0.0017317188749907261,-0.00032833530355232067
digital,gamma,fd_independent,0.01,-0.0012564208535513763,0.0040728266185314438,-0.00092808554999905567,0.0041772310748551273,-0.00032833530355232067
digital,gamma,fd_crn,0.01,-0.0004712712154656612,0.0007398270849909884,-0.00014293591191334053,0.00075350832152057976,-0.00032833530355232067
digital,gamma,fd_independent,0.017782794100389229,-0.00066668623186454383,0.0012631234512006163,-0.00033835092831222316,0.0013076552311915778,-0.00032833530355232067
digital,gamma,fd_crn,0.017782794100389229,-0.00040305256272361634,0.00032335120493978692,-7.4717259171295668e-05,0.00033187146691766476,-0.00032833530355232067
digital,gamma,fd_independent,0.031622776601683791,-0.00045231150727849617,0.00040634278994711528,-0.0001239762037261755,0.00042483474673378545,-0.00032833530355232067
digital,gamma,fd_crn,0.031622776601683791,-0.00036295594476960758,0.0001341092407968809,-3.4620641217286913e-05,0.00013850587447979197,-0.00032833530355232067
digital,gamma,fd_independent,0.056234132519034911,-0.00034554944087454088,0.00013270544029779245,-1.7214137322220206e-05,0.00013381726498617138,-0.00032833530355232067
digital,gamma,fd_crn,0.056234132519034911,-0.00032303013398927131,6.3300546523728041e-05,5.305169563049356e-06,6.3522468578412175e-05,-0.00032833530355232067
digital,gamma,fd_independent,0.10000000000000001,-0.00030834926370135765,3.860185160100844e-05,1.9986039850963019e-05,4.3468893889200355e-05,-0.00032833530355232067
digital,gamma,fd_crn,0.10000000000000001,-0.00029780802881452221,2.2992709051611261e-05,3.0527274737798457e-05,3.8217524415496546e-05,-0.00032833530355232067
digital,gamma,fd_independent,0.17782794100389229,-0.00024732510103356916,1.2918317449961985e-05,8.101020251875151e-05,8.2033748164198406e-05,-0.00032833530355232067
digital,gamma,fd_crn,0.17782794100389229,-0.00024534426263811974,8.8524472077587695e-06,8.2991040914200934e-05,8.3461839744812294e-05,-0.00032833530355232067
digital,gamma,fd_independent,0.31622776601683794,-0.00013610076840249785,3.6329300511288814e-06,0.00019223453514982281,0.00019226886041432933,-0.00032833530355232067
digital,gamma,fd_crn,0.31622776601683794,-0.00013554966683677045,3.267720951914829e-06,0.00019278563671555022,0.00019281332869913243,-0.00032833530355232067
digital,gamma,likelihood_ratio,nan,-0.00032859600582062741,9.6743798709568653e-06,-2.6070226830674035e-07,9.6778918964966573e-06,-0.00032833530355232067
digital,gamma,mixed,nan,0,0,0.00032833530355232067,0.00032833530355232067,-0.00032833530355232067
