problem,method,n,greek,value,reference,relative_error
european_call_k100,bbs,1000,delta,0.63685494501829742,0.63683065117561899,3.814804239343772e-05
european_call_k100,bbs,1000,gamma,0.018750873758583631,0.018762017345846895,-0.00059394398042866836
european_call_k100,bbs,1000,theta,-6.4115209683848207,-6.4140275464381968,-0.00039079627195681699
european_call_k100,bbs,1001,delta,0.63685508617872111,0.63683065117561899,3.8369703243779085e-05
european_call_k100,bbs,1001,gamma,0.018750937670834935,0.018762017345846895,-0.00059053751031801216
european_call_k100,bbs,1001,theta,-6.4115359548867508,-6.4140275464381968,-0.00038845975222379092
european_call_k100,bbs,2000,delta,0.63684279885451023,0.63683065117561899,1.9075210762498074e-05
european_call_k100,bbs,2000,gamma,0.01875644179906134,0.018762017345846895,-0.00029717203021295546
european_call_k100,bbs,2000,theta,-6.4127734676784343,-6.4140275464381968,-0.00019552126190336416
european_call_k100,bbs,2001,delta,0.63684287515645233,0.63683065117561899,1.9195025884544137e-05
european_call_k100,bbs,2001,gamma,0.018756470736121082,0.018762017345846895,-0.0002956297088725357
european_call_k100,bbs,2001,theta,-6.4127802846995676,-6.4140275464381968,-0.00019445843186649547
european_call_k100,bbs,5000,delta,0.63683551042708597,0.63683065117561899,7.6303668141708414e-06
european_call_k100,bbs,5000,gamma,0.018759786224961623,0.018762017345846895,-0.00011891689705567643
european_call_k100,bbs,5000,theta,-6.4135257250708122,-6.4140275464381968,-7.8238106049788314e-05
european_call_k100,bbs,5001,delta,0.63683554232260542,0.63683065117561899,7.6804515884987268e-06
european_call_k100,bbs,5001,gamma,0.018759797073292804,0.018762017345846895,-0.0001183386899801242
european_call_k100,bbs,5001,theta,-6.413528289165332,-6.4140275464381968,-7.7838342484537471e-05
american_put_k100,crr,25,delta,-0.41219812637564146,-0.41106013309990369,0.0027684350393113455
american_put_k100,crr,25,gamma,0.022514390616408569,0.022988343273841864,-0.020617086311417676
american_put_k100,crr,25,theta,-2.1277745995027186,-2.2378429761738516,-0.049185031230083109
american_put_k100,crr,26,delta,-0.41345112455603789,-0.41106013309990369,0.0058166464310298593
american_put_k100,crr,26,gamma,0.022860408413725629,0.022988343273841864,-0.0055652057476368588
american_put_k100,crr,26,theta,-2.1951700481439254,-2.2378429761738516,-0.019068776712334978
american_put_k100,crr,50,delta,-0.41226921875613581,-0.41106013309990369,0.0029413838970813178
american_put_k100,crr,50,gamma,0.022919140137452554,0.022988343273841864,-0.0030103577089026778
american_put_k100,crr,50,theta,-2.2152823902416685,-2.2378429761738516,-0.010081398101825734
american_put_k100,crr,51,delta,-0.41155125558298622,-0.41106013309990369,0.0011947704083556943
american_put_k100,crr,51,gamma,0.022729388430923484,0.022988343273841864,-0.011264615280607959
american_put_k100,crr,51,theta,-2.1788256810998985,-2.2378429761738516,-0.026372402220489088
american_put_k100,crr,100,delta,-0.41164889329703286,-0.41106013309990369,0.0014322970040641092
american_put_k100,crr,100,gamma,0.02295041410759234,0.022988343273841864,-0.0016499303928823039
american_put_k100,crr,100,theta,-2.2259576160541972,-2.2378429761738516,-0.0053110786798703513
american_put_k100,crr,101,delta,-0.41130339876077177,-0.41106013309990369,0.00059180066681130405
american_put_k100,crr,101,gamma,0.022856615520352588,0.022988343273841864,-0.0057301977754597999
american_put_k100,crr,101,theta,-2.2078437908762059,-2.2378429761738516,-0.013405402263270916
american_put_k100,crr,200,delta,-0.41134165815651019,-0.41106013309990369,0.00068487560319563379
american_put_k100,crr,200,gamma,0.02296559207018524,0.022988343273841864,-0.00098968435374424679
american_put_k100,crr,200,theta,-2.2312078933579116,-2.2378429761738516,-0.0029649456582000466
american_put_k100,crr,201,delta,-0.41117170415226006,-0.41106013309990369,0.00027142270284152836
american_put_k100,crr,201,gamma,0.022919636388147674,0.022988343273841864,-0.002988770651096484
american_put_k100,crr,201,theta,-2.2223168614261084,-2.2378429761738516,-0.0069379822056545581
american_put_k100,crr,500,delta,-0.41117317272927167,-0.41106013309990369,0.0002749953602056987
american_put_k100,crr,500,gamma,0.022980258476909817,0.022988343273841864,-0.00035169115215216706
american_put_k100,crr,500,theta,-2.2353915744477426,-2.2378429761738516,-0.001095430623242577
american_put_k100,crr,501,delta,-0.41110604801390754,-0.41106013309990369,0.00011169877666694639
american_put_k100,crr,501,gamma,0.022961765997763624,0.022988343273841864,-0.0011561196803808738
american_put_k100,crr,501,theta,-2.2318064220303042,-2.2378429761738516,-0.0026974878075978204
american_put_k100,crr,1000,delta,-0.41111600469604725,-0.41106013309990369,0.00013592073675994243
american_put_k100,crr,1000,gamma,0.022984271862594049,0.022988343273841864,-0.00017710764100375975
american_put_k100,crr,1000,theta,-2.236617634119753,-2.2378429761738516,-0.00054755497465408531
american_put_k100,crr,1001,delta,-0.41108240873122553,-0.41106013309990369,5.4190687756250355e-05
american_put_k100,crr,1001,gamma,0.022974987967992452,0.022988343273841864,-0.0005809599104346086
american_put_k100,crr,1001,theta,-2.234817324641079,-2.2378429761738516,-0.0013520392471618736
american_put_k100,crr,2000,delta,-0.41108756521438217,-0.41106013309990369,6.6735040130438961e-05
american_put_k100,crr,2000,gamma,0.022986471113719254,0.022988343273841864,-8.1439540914662878e-05
american_put_k100,crr,2000,theta,-2.2372684037188506,-2.2378429761738516,-0.00025675280219317198
american_put_k100,crr,2001,delta,-0.41107077800484154,-0.41106013309990369,2.5896223157406695e-05
american_put_k100,crr,2001,gamma,0.022981819197653928,0.022988343273841864,-0.00028379931995181629
american_put_k100,crr,2001,theta,-2.2363661051658408,-2.2378429761738516,-0.00065995292061815647
american_put_k100,crr,5000,delta,-0.41107046963409932,-0.41106013309990369,2.5146039139611887e-05
american_put_k100,crr,5000,gamma,0.02298778321325862,0.022988343273841864,-2.4362807557354316e-05
american_put_k100,crr,5000,theta,-2.2376579211913494,-2.2378429761738516,-8.2693461727401107e-05
american_put_k100,crr,5001,delta,-0.41106375688822322,-0.41106013309990369,8.8157133901756168e-06
american_put_k100,crr,5001,gamma,0.022985921028963283,0.022988343273841864,-0.00010536839691865918
american_put_k100,crr,5001,theta,-2.2372966843748596,-2.2378429761738516,-0.00024411533999857404
american_put_k100,bbs,25,delta,-0.41270253072746882,-0.41106013309990369,0.0039955167025793603
american_put_k100,bbs,25,gamma,0.022688743186460521,0.022988343273841864,-0.01303269591081202
american_put_k100,bbs,25,theta,-2.1621269326579817,-2.2378429761738516,-0.033834386202254985
american_put_k100,bbs,26,delta,-0.41263762367337525,-0.41106013309990369,0.003837615099219871
american_put_k100,bbs,26,gamma,0.022672185570172795,0.022988343273841864,-0.013752957309838831
american_put_k100,bbs,26,theta,-2.1593201254592049,-2.2378429761738516,-0.035088632916014939
american_put_k100,bbs,50,delta,-0.41185839817569364,-0.41106013309990369,0.0019419666649986844
american_put_k100,bbs,50,gamma,0.022816382802634708,0.022988343273841864,-0.0074803333654246407
american_put_k100,bbs,50,theta,-2.1955475436647331,-2.2378429761738516,-0.018900089487705274
american_put_k100,bbs,51,delta,-0.41181127363201714,-0.41106013309990369,0.0018273251809872715
american_put_k100,bbs,51,gamma,0.022809566438343528,0.022988343273841864,-0.0077768473077293176
american_put_k100,bbs,51,theta,-2.1944785638904993,-2.2378429761738516,-0.019377772589520337
american_put_k100,bbs,100,delta,-0.41144496878750958,-0.41106013309990369,0.00093620289738094442
american_put_k100,bbs,100,gamma,0.022897888863434419,0.022988343273841864,-0.0039347946622309005
american_put_k100,bbs,100,theta,-2.2158391142860001,-2.2378429761738516,-0.0098326210203866227
american_put_k100,bbs,101,delta,-0.41143572151251084,-0.41106013309990369,0.0009137067362254836
american_put_k100,bbs,101,gamma,0.02289641113673966,0.022988343273841864,-0.0039990762277685166
american_put_k100,bbs,101,theta,-2.2156060030581761,-2.2378429761738516,-0.009936788841947819
american_put_k100,bbs,200,delta,-0.41123960827298811,-0.41106013309990369,0.000436615372381155
american_put_k100,bbs,200,gamma,0.022938595247136817,0.022988343273841864,-0.0021640544563146236
