payoff,greek,method,paths,best_h,bias,sd,rmse,exact
call,gamma,fd_crn,512,0.17782794100389229,-0.00089412371986579212,0.00096049035222491182,0.0013122495734972737,0.018762017345846895
call,gamma,fd_crn,1024,0.17782794100389229,-0.00084070289769111115,0.00072824419305257313,0.0011122593973084806,0.018762017345846895
call,gamma,fd_crn,2048,0.10000000000000001,-0.00024548692558847354,0.00085618687461564856,0.00089068501441249876,0.018762017345846895
call,gamma,fd_crn,4096,0.10000000000000001,-0.00024628836777421115,0.00052625553970930448,0.00058103601710704337,0.018762017345846895
call,gamma,fd_crn,8192,0.10000000000000001,-0.00027942781290840255,0.00032653389693184352,0.00042977236820469159,0.018762017345846895
call,gamma,fd_crn,16384,0.10000000000000001,-0.0002363316379717581,0.00026707779208387148,0.00035662752295751072,0.018762017345846895
call,gamma,fd_crn,32768,0.056234132519034911,-6.4848901231193135e-05,0.0002609357661765822,0.00026887330485017108,0.018762017345846895
call,gamma,fd_crn,65536,0.056234132519034911,-5.3480464313797327e-05,0.00015990796232140061,0.00016861410521365591,0.018762017345846895
call,gamma,fd_crn,131072,0.056234132519034911,-6.8405437494666044e-05,0.00013846576915043759,0.00015444116389505403,0.018762017345846895
call,gamma,fd_crn,262144,0.056234132519034911,-5.7191375309621761e-05,8.3565538870559195e-05,0.00010126229652014097,0.018762017345846895
call,gamma,likelihood_ratio,256,nan,-0.0006341866083225331,0.0088556512070452863,0.0088783304148369185,0.018762017345846895
call,gamma,likelihood_ratio,512,nan,0.0009577570691939076,0.0063900375985076691,0.0064614146372085242,0.018762017345846895
call,gamma,likelihood_ratio,1024,nan,0.0012375822146473356,0.0051667325308835535,0.0053128838481282248,0.018762017345846895
call,gamma,likelihood_ratio,2048,nan,0.0006462571339187935,0.0034708623165429619,0.0035305146230456132,0.018762017345846895
call,gamma,likelihood_ratio,4096,nan,0.00044692749671315299,0.0022336473278924689,0.0022779211076592296,0.018762017345846895
call,gamma,likelihood_ratio,8192,nan,0.00025629009247268852,0.0015429744378861062,0.0015641146784905525,0.018762017345846895
call,gamma,likelihood_ratio,16384,nan,0.00010179585328884064,0.0011812354246754496,0.0011856135644698878,0.018762017345846895
call,gamma,likelihood_ratio,32768,nan,-7.4715730875998115e-05,0.00099883371177174308,0.0010016242929422449,0.018762017345846895
call,gamma,likelihood_ratio,65536,nan,-0.00010608643153680805,0.00067657289542983961,0.00068483955331634469,0.018762017345846895
call,gamma,likelihood_ratio,131072,nan,-3.5531356584891927e-05,0.00044107605319935116,0.00044250487229710773,0.018762017345846895
call,gamma,likelihood_ratio,262144,nan,-7.9198915473827763e-05,0.00028760313105513933,0.00029830861403075534,0.018762017345846895
call,gamma,mixed,256,nan,-7.2875438581587737e-05,0.0026110564892945875,0.0026120732799513563,0.018762017345846895
call,gamma,mixed,512,nan,0.0002241735327424936,0.0016372753642776912,0.0016525508740286626,0.018762017345846895
call,gamma,mixed,1024,nan,0.00023418754527797583,0.0012015256262898962,0.0012241354651322913,0.018762017345846895
call,gamma,mixed,2048,nan,0.00010186471011795761,0.00089422167163207055,0.00090000489842215312,0.018762017345846895
call,gamma,mixed,4096,nan,1.9483855312606158e-05,0.00063766329952707243,0.0006379608954956373,0.018762017345846895
call,gamma,mixed,8192,nan,2.1297729200470822e-05,0.00044759784071637644,0.0004481042515788701,0.018762017345846895
call,gamma,mixed,16384,nan,2.754098351712142e-05,0.0003018763789370236,0.00030313009407384781,0.018762017345846895
call,gamma,mixed,32768,nan,-1.7908794883805118e-05,0.00022027579473046606,0.00022100260332930159,0.018762017345846895
call,gamma,mixed,65536,nan,-1.8953092765290613e-05,0.00015304798443309154,0.00015421707189673114,0.018762017345846895
call,gamma,mixed,131072,nan,-1.2734612412107493e-05,0.00011512968384377217,0.00011583183696744836,0.018762017345846895
call,gamma,mixed,262144,nan,-2.0165272850026367e-05,7.7807266123630344e-05,8.0377912953431705e-05,0.018762017345846895
digital,delta,fd_independent,256,0.17782794100389229,-0.0021601746764420178,0.0013041884344451066,0.0025233434378383285,0.018762017345846895
digital,delta,fd_independent,512,0.10000000000000001,-0.00048231859682043229,0.0018394599136390662,0.0019016424487068727,0.018762017345846895
digital,delta,fd_independent,1024,0.10000000000000001,-0.00058246939987608229,0.0011574085092804207,0.0012957102527751832,0.018762017345846895
digital,delta,fd_independent,2048,0.10000000000000001,-0.00057593782576375457,0.00070675113309856487,0.00091170255197711616,0.018762017345846895
digital,delta,fd_independent,4096,0.056234132519034911,-0.00023421432280431795,0.0007346892961801523,0.00077111912888241387,0.018762017345846895
digital,delta,fd_independent,8192,0.10000000000000001,-0.00059408108718687555,0.0003899170666608113,0.00071061076337648559,0.018762017345846895
digital,delta,fd_independent,16384,0.056234132519034911,-0.00024566796762231363,0.00042157602776110901,0.00048793349700396003,0.018762017345846895
digital,delta,fd_independent,32768,0.056234132519034911,-0.00020154723723187981,0.00033899150613701199,0.00039438119892921302,0.018762017345846895
digital,delta,fd_independent,65536,0.056234132519034911,-0.00019336030097113002,0.00023645094275275333,0.0003054459924770856,0.018762017345846895
digital,delta,fd_independent,131072,0.056234132519034911,-0.00018416512132852364,0.0001595685269540231,0.00024367787488450122,0.018762017345846895
