date,vix,realized_loss,var_delta_normal,var_delta_gamma_normal,var_mc_full_revaluation,var_historical_full_revaluation
1998-06-17,22.890000000000001,-0.23370055312239213,0,0.4133004380753163,0.70605828580829133,1.0103243364334098
1998-06-18,22.399999999999999,-0.21744623938787733,0,0.40441033587844399,0.69063629129943394,1.0350939151166916
1998-06-19,21.920000000000002,-0.00094037211511821539,0,0.39568411577376728,0.67595328415228728,1.0600385973932109
1998-06-22,21.940000000000001,-0.20047031892544886,0,0.39609853702018999,0.67656549651856768,1.059364423159578
1998-06-23,20.170000000000002,0.073315637618204477,0,0.36385029694351723,0.62264234715538436,1.1270571871838992
1998-06-24,20.02,-0.016952613680881079,0,0.36116845820738985,0.61807327033191317,1.1294043967639764
1998-06-25,20.25,-0.30285680655748237,0,0.36537950576070621,0.62509234782824041,1.1254569843853988
1998-06-26,19.359999999999999,0.032853776147831582,0,0.34915840791014496,0.59792769522021594,1.1407510286658233
1998-06-29,19.57,-0.076557759206416165,0,0.35285209180292854,0.604317734229606,1.1375659010021657
1998-06-30,19.710000000000001,-0.40431339806682765,0,0.3554610456975737,0.60860278486057595,1.1349251118464938
1998-07-01,18,-0.080269268699384,0,0.32425865093409351,0.55592671458180476,1.166238349732641
1998-07-02,17.670000000000002,0.16100823375190032,0,0.31825006653435572,0.54559564356665113,1.1726355951669749
1998-07-06,18.629999999999999,-0.10611856396298336,0,0.33576269584487406,0.57548373067096215,1.1542752860619228
1998-07-07,18.620000000000001,-0.12272406699981175,0,0.33558966316845196,0.5751899126804112,1.1544240828758472
1998-07-08,17.82,-0.021191658827154569,0,0.32097059842065639,0.55031995749330953,1.1697535691046745
1998-07-09,18.16,-0.15321061345857423,0,0.32720036658810658,0.56082705213787065,1.163072978716853
1998-07-10,17.920000000000002,0.075329887822126906,0,0.32282685987781357,0.5534857896933989,0.98926603831241877
1998-07-13,18.260000000000002,-0.18502993186742778,0,0.32896818532255789,0.56387200996081788,0.98083329389895191
1998-07-14,17.879999999999999,0.035738758998315134,0,0.32199707224469176,0.55205636789429668,0.99070558185991686
1998-07-15,17.890000000000001,-0.29656529298435608,0,0.32219974857724099,0.55242426944108125,0.99036531786501669
1998-07-16,16.969999999999999,-0.24509568625823164,0,0.30535257775103852,0.52306839113583692,1.0153541021579144
